Large Eyes,Red Puffles,Green Puffles,Size Large Allele,Short Hair Allele,Blue Puffles,Sum Y Allele,Long Hair,Size of Population,Medium Eyes,Small Eye Allele,Large Puffles,GreenBlue Puffles,Small Puffles,Blue Color Allele,Large Eye Allele,Size Small Allele,Males,Sum X Allele,Medium Puffles,Females,Small Eyes,Short Hair,RedBlue Puffles,RedGreen Puffles,Green Color Allele,Red Color Allele,Long Hair Allele
16574,1953,6839,104424,38760,14056,30484,55549,61380,30606,59006,44359,20030,1315,79844,63754,18336,30484,92276,15706,30896,14200,5831,11372,7130,20508,22408,84000
17697,1990,7625,114142,41366,15838,32944,60300,66542,33130,64560,48924,21693,1324,87949,68524,18942,32944,100140,16294,33598,15715,6242,12022,7374,21759,23376,91718
19342,2154,8158,125527,44741,17732,36184,65889,72535,36065,70321,54180,23822,1188,96189,74749,19543,36184,108886,17167,36351,17128,6646,12743,7926,23904,24977,100329
20945,2214,8750,138371,48380,20245,39841,72352,79418,39752,77194,60240,25893,1287,106230,81642,20465,39841,118995,17891,39577,18721,7066,13962,8354,25862,26744,110456
23157,2281,9526,152995,53050,22599,43723,79373,87365,43606,84810,67011,29096,1381,118234,89920,21735,43723,131007,18973,43642,20602,7992,15067,8796,28071,28425,121680
25264,2230,10347,170165,57890,25603,48010,87650,96197,48003,93863,75251,32191,1283,131122,98531,22229,48010,144384,19663,48187,22930,8547,16422,9404,30986,30286,134504
28238,2491,11109,189423,62993,28871,53125,97334,106554,52868,103764,84153,36415,1284,146307,109344,23685,53125,159983,21117,53429,25448,9220,17613,10055,34151,32650,150115
30972,2588,12410,210510,68819,32575,58920,108189,117799,59270,114384,93918,40170,1207,162546,121214,25088,58920,176678,22674,58879,27557,9610,19270,10786,37820,35232,166779
34573,2675,13457,236013,76078,37159,65616,120532,131209,65363,127909,106152,45147,1348,182581,134509,26405,65616,196802,23709,65593,31273,10677,20923,11848,41716,38121,186340
38655,2807,14814,265019,84248,42460,73369,134547,146456,72968,142634,119691,50938,1128,205410,150278,27893,73369,219543,25637,73087,34833,11909,23173,12264,46451,41051,208664
42841,2939,16721,295853,92885,48292,81196,149803,162666,81013,158637,134524,56360,1337,229424,166695,29479,81196,244136,26805,81470,38812,12863,24973,13381,51676,44232,232447
47404,2966,18620,328708,101943,54400,89986,165710,179923,89703,175335,150181,62930,1396,255816,184511,31138,89986,269860,28346,89937,42816,14213,27066,13941,57091,46939,257903
52648,3099,20476,368117,112449,61417,100570,185196,200532,100127,195641,168861,71048,1276,286679,205423,32947,100570,300494,30395,99962,47757,15336,29206,15286,63695,50690,288615
57919,3422,22576,410484,124017,69638,111049,205372,222455,111745,217327,189333,79022,1304,319869,227583,34426,111049,333861,31818,111406,52791,17083,31196,16601,70400,54641,320893
64422,3506,24769,459435,137726,79090,124190,229291,247986,123629,243499,212861,88452,1412,359153,252473,36537,124190,371782,33713,123796,59935,18695,34660,17509,77638,59181,358246
70999,3513,27083,513816,151653,89303,138372,256078,276451,138669,272235,238611,99487,1246,402468,280667,39086,138372,414530,36594,138079,66783,20373,38039,19026,86343,64091,401249
79081,3839,30472,578924,168848,102492,155281,287852,310571,155959,307021,269713,111372,1360,454999,314121,42218,155281,465861,39498,155290,75531,22719,41890,20506,96069,70074,452294
89046,3922,34044,651092,186563,116498,174075,323857,348244,173550,344846,304234,125307,1386,512878,351642,45396,174075,522413,42624,174169,85648,24387,45865,22608,107293,76317,509925
100153,4389,37571,732431,207178,132190,194908,363645,390507,194893,385815,343449,141720,1525,577350,395199,48583,194908,586106,45533,195599,95461,26862,50129,24508,120249,83415,573836
110039,4601,42072,820476,230270,150170,218400,406671,436246,218760,433654,385794,158214,1564,648239,438838,52016,218400,654092,48888,217846,107447,29575,54737,26452,133862,90391,642222
123652,4801,46340,917672,254670,169943,243233,453753,486300,243467,481829,432805,176789,1433,725239,490771,54928,243233,729367,52062,243067,119181,32547,59730,28697,149332,98029,717930
